오금(5),개롱(5),0.900
개롱(5),거여(5),0.900
거여(5),마천(5),0.900
응암(6),역촌(6),1.100
역촌(6),불광(6),0.800
불광(6),독바위(6),0.900
독바위(6),연신내(6),1.400
연신내(6),구산(6),0.900
구산(6),응암(6),1.500
응암(6),새절(6),0.900
새절(6),증산(6),0.900
증산(6),디지털미디어시티(6),1.100
디지털미디어시티(6),월드컵경기장(6),0.800
월드컵경기장(6),마포구청(6),0.800
마포구청(6),망원(6),1.000
망원(6),합정(6),0.800
합정(6),상수(6),0.800
상수(6),광흥창(6),0.900
광흥창(6),대흥(6),1.000
대흥(6),공덕(6),0.900
공덕(6),효창공원앞(6),0.900
효창공원앞(6),삼각지(6),1.200
삼각지(6),녹사평(6),1.100
녹사평(6),이태원(6),0.800
이태원(6),한강진(6),1.000
한강진(6),버티고개(6),1.000
버티고개(6),약수(6),0.700
약수(6),청구(6),0.800
청구(6),신당(6),0.700
신당(6),동묘앞(6),0.600
동묘앞(6),창신(6),0.900
창신(6),보문(6),0.800
보문(6),안암(6),0.900
안암(6),고려대(6),0.800
고려대(6),월곡(6),1.400
월곡(6),상월곡(6),0.800
상월곡(6),돌곶이(6),0.800
돌곶이(6),석계(6),1.000
석계(6),태릉입구(6),0.800
태릉입구(6),화랑대(6),0.900
화랑대(6),봉화산(6),0.700
봉화산(6),신내역(6),1.300
장암(7),도봉산(7),1.400
도봉산(7),수락산(7),1.600
수락산(7),마들(7),1.400
마들(7),노원(7),1.200
노원(7),중계(7),1.100
중계(7),하계(7),1.000
하계(7),공릉(7),1.300
공릉(7),태릉입구(7),0.800
태릉입구(7),먹골(7),0.900
먹골(7),중화(7),0.900
중화(7),상봉(7),1.000
상봉(7),면목(7),0.800
면목(7),사가정(7),0.900
사가정(7),용마산(7),0.800
용마산(7),중곡(7),0.900
중곡(7),군자(7),1.100
군자(7),어린이대공원(7),1.100
어린이대공원(7),건대입구(7),0.800
건대입구(7),뚝섬유원지(7),1.000
뚝섬유원지(7),청담(7),2.000
청담(7),강남구청(7),1.100
강남구청(7),학동(7),0.900
학동(7),논현(7),1.000
논현(7),반포(7),0.900
반포(7),고속터미널(7),0.900
고속터미널(7),내방(7),2.200
내방(7),이수(7),1.000
이수(7),남성(7),1.000
남성(7),숭실대입구(7),2.000
숭실대입구(7),상도(7),0.900
상도(7),장승배기(7),0.900
장승배기(7),신대방삼거리(7),1.200
신대방삼거리(7),보라매(7),0.800
보라매(7),신풍(7),0.900
신풍(7),대림(7),1.400
대림(7),남구로(7),1.100
남구로(7),가산디지털단지(7),0.800
가산디지털단지(7),철산(7),1.400
철산(7),광명사거리(7),1.300
광명사거리(7),천왕(7),1.700
천왕(7),온수(7),1.500
암사(8),천호(8),1.300
천호(8),강동구청(8),0.900
강동구청(8),몽촌토성(8),1.600
몽촌토성(8),잠실(8),0.800
잠실(8),석촌(8),1.200
석촌(8),송파(8),0.900
송파(8),가락시장(8),0.800
가락시장(8),문정(8),0.900
문정(8),장지(8),0.900
장지(8),복정(8),0.900
복정(8),남위례(8),1.500
남위례(8),산성(8),1.200
산성(8),남한산성입구(8),1.300
남한산성입구(8),단대오거리(8),0.800
단대오거리(8),신흥(8),0.800
신흥(8),수진(8),0.900
수진(8),모란(8),1.000
가락시장(3),가락시장(8),0.300
